24.159.7.42:27029                                       [Greener Pastures][Origins]
95.216.144.230:27017                                    Nxrth | Domination all maps | EU
5.161.120.191:27017                                     @NathicIsLame: Trickshotting Server (Custom Weapons)
51.222.10.228:3144                                      [HGM] Casual DOM [US]
88.99.153.148:28966                                     BOIII - TDM
88.99.153.148:28967                                     BOIII - Prop Hunt
89.58.24.164:4998                                       [FwG] Gorod Krovi | Discord: fwgclan.eu
89.58.24.164:4996                                       [FwG] Zetsubou No Shima | Discord: fwgclan.eu
89.58.24.164:29002                                      [FwG] Kino der Toten | Discord: fwgclan.eu
89.58.24.164:28992                                      [FwG] Nacht der Untoten | Discord: fwgclan.eu
89.58.24.164:28991                                      [FwG] Super Mario 64 | Discord: fwgclan.eu
89.58.24.164:4997                                       [FwG] Revelations | Discord: fwgclan.eu
89.58.24.164:28976                                      [FwG] Der Eisendrache | Discord: fwgclan.eu
89.58.24.164:4990                                       [FwG] Shadows of Evil | Discord: fwgclan.eu
89.58.24.164:4992                                       [FwG] Cheese Cube | Discord: fwgclan.eu
89.58.24.164:28984                                      [FwG] The Giant | Discord: fwgclan.eu
104.152.208.80:27019                                    RG BOIII Multiplayer
198.23.145.74:27019                                     RG BOIII GunGame
104.194.10.179:29017                                    NamelessNoobs TDM
209.209.8.214:30120                                     Celebrity's FFA Trickshot (BETA)
89.32.245.8:27017                                       Fracture/DOM Snipers Only | MapVote Enabled [2]
121.5.166.131:27017                                     -AAE BETA- Gun Game  Players discord.gg/A3etcuYzhe
24.159.7.42:27028                                       [Greener Pastures][Nacht der Untoten]
24.159.7.42:27020                                       [Greener Pastures][ShadowsOfEvil]
24.159.7.42:27024                                       [Greener Pastures][Revelations]
24.159.7.42:27021                                       [Greener Pastures][Der Eisendrache]
24.159.7.42:27032                                       [Greener Pastures][The Giant]
24.159.7.42:27033                                       [Greener Pastures][VerrÃ¼ckt]
24.159.7.42:27023                                       [Greener Pastures][Gorod Krovi]
24.159.7.42:27026                                       [Greener Pastures][KINO]
24.159.7.42:27025                                       [Greener Pastures][Ascension]
24.159.7.42:27034                                       [Greener Pastures][Der Eisendrache#2]
24.159.7.42:27027                                       [Greener Pastures][Moon]
24.159.7.42:27022                                       [Greener Pastures][Zetsubou No Shima]
24.159.7.42:27030                                       [Greener Pastures][Shangri-La]
24.159.7.42:27031                                       [Greener Pastures][Shi No Numa]
185.53.163.82:10156                                     GewoonIraj |EU| Nacht Der Untoten
185.53.163.82:10157                                     GewoonIraj |EU| Verruckt
185.53.163.82:10158                                     GewoonIraj |EU| Ascension
185.53.163.82:10154                                     GewoonIraj |EU| Gorod Krovi
185.53.163.82:10159                                     GewoonIraj |EU| Moon
185.53.163.82:10161                                     GewoonIraj |EU| Shangri-La
185.53.163.82:10150                                     GewoonIraj |EU| Shadows of Evil
185.53.163.82:10160                                     GewoonIraj |EU| Shi No Numa
185.53.163.82:10155                                     GewoonIraj |EU| Revelations
185.53.163.82:10166                                     GewoonIraj |EU| QUIET COSMOS
185.53.163.82:10152                                     GewoonIraj |EU| Der Eisendrache
185.53.163.82:10167                                     GewoonIraj |EU| LAST MAN STANDING S2E3 (CHAOS)
185.53.163.82:10162                                     GewoonIraj |EU| Kino Der Toten
185.53.163.82:10151                                     GewoonIraj |EU| The Giant
134.255.235.208:28960                                   [LK] TDM All Maps
193.34.77.157:27018                                     Fracture/DOM Snipers Only | CUSTOM SNIPERS [1]
51.81.33.43:27017                                       Futa's Private Server Map Rotation
139.99.144.105:27017                                    BulletMemes' Cringe Server
51.222.10.228:3145                                      [HGM] Casual TDM [US] NukeJacked 24/7
51.222.10.228:3143                                      [HGM] Casual TDM [US]
51.222.10.228:3146                                      [HGM] Casual TDM [US] Nuketown 24/7
51.195.188.16:3146                                      [HGM] Casual TDM [EU] Nuketown 24/7
51.195.188.16:3141                                      [HGM] Casual TDM [EU]
51.195.188.16:3143                                      [HGM] Casual TDM [EU] #3
51.195.188.16:3142                                      [HGM] Casual TDM [EU] #2
51.222.10.228:3142                                      [HGM] Casual TDM [US] #2
51.222.10.228:3141                                      [HGM] Casual TDM [US]
51.222.10.228:3147                                      [HGM] Casual TDM [US] Best Maps 24/7
51.195.188.16:3144                                      [HGM] Casual DOM [EU]
82.165.96.50:27026                                      [SXR] | Verruckt - Vanilla
82.165.96.50:27023                                      [SXR] | Kino Der Toten - Vanilla
82.165.96.50:27022                                      [SXR] | Revalations - Vanilla
82.165.96.50:27018                                      [SXR] | Shadows of Evil - Vanilla
82.165.96.50:27019                                      [SXR] | Der Eisendrache - Vanilla
82.165.96.50:27035                                      Windy Private Server
82.165.96.50:27020                                      [SXR] | Zetsobou No Shima - Vanilla
82.165.96.50:27021                                      [SXR] | Gorod Korovi - Vanilla
82.165.96.50:27025                                      [SXR] | Moon - Vanilla
82.165.96.50:27024                                      [SXR] | Ascension - Vanilla
